VSF,Count
4.59,2304
4.63,2289
4.62,2281
4.6,2278
4.58,2277
4.65,2273
4.74,2258
4.56,2254
4.66,2247
4.64,2235
4.72,2222
4.53,2213
4.57,2211
4.68,2185
4.69,2152
4.73,2137
4.7,2128
4.71,2126
4.77,2125
4.78,2105
4.76,2097
4.75,2087
4.79,2087
4.8,2087
4.88,2070
4.67,2066
4.89,2064
4.81,2050
4.84,2031
4.9,2031
4.85,2028
4.83,2023
4.82,2011
4.86,2010
4.91,2004
4.87,1999
4.93,1997
4.92,1991
5.01,1965
4.97,1959
4.95,1957
5.05,1950
4.98,1925
4.99,1909
4.94,1907
5.06,1901
5.18,1894
5.04,1893
5.15,1875
4.96,1874
5.03,1871
5.14,1864
5.23,1862
5.08,1852
5.07,1836
5.1,1831
5.02,1829
5.16,1805
5.19,1803
5.12,1798
5,1797
5.11,1796
5.2,1792
5.13,1789
5.17,1789
5.09,1785
5.25,1753
5.24,1741
5.33,1739
5.22,1738
5.31,1711
5.28,1710
5.21,1707
5.32,1689
5.27,1688
5.41,1666
5.3,1663
5.34,1659
5.26,1658
5.29,1657
5.35,1656
5.44,1652
5.38,1645
5.39,1636
5.42,1624
5.36,1619
5.47,1589
5.37,1586
5.4,1585
5.45,1582
5.49,1581
5.55,1580
5.48,1566
5.5,1561
5.53,1551
5.54,1548
5.51,1540
5.58,1536
5.43,1531
5.46,1526
5.52,1525
5.69,1522
5.59,1515
5.6,1511
5.66,1496
5.62,1487
5.56,1483
5.64,1475
5.57,1470
5.67,1453
5.71,1451
5.63,1444
5.7,1442
5.73,1440
5.76,1437
5.8,1432
5.68,1431
5.82,1424
5.79,1423
5.72,1418
5.74,1418
5.78,1404
5.61,1403
5.77,1397
5.81,1393
5.83,1391
5.65,1385
5.88,1366
6,1363
5.75,1361
5.85,1361
5.86,1354
5.98,1351
5.92,1350
5.91,1347
5.84,1346
6.01,1345
5.96,1340
5.87,1328
5.93,1326
5.89,1321
5.9,1319
5.97,1319
5.94,1299
6.03,1287
5.95,1285
6.12,1284
6.02,1283
6.04,1279
6.08,1279
5.99,1276
6.05,1275
6.06,1271
6.19,1259
6.15,1255
6.16,1255
6.29,1244
6.1,1242
6.22,1237
6.07,1219
6.17,1215
6.11,1211
6.14,1208
6.18,1207
6.27,1203
6.09,1195
6.2,1190
6.26,1181
6.24,1180
6.23,1167
6.21,1160
6.13,1159
6.36,1151
6.38,1151
6.3,1150
6.25,1140
6.33,1140
6.32,1138
6.39,1138
6.44,1132
6.4,1124
6.48,1123
6.37,1122
6.42,1122
6.34,1115
6.46,1115
6.43,1110
6.31,1109
6.54,1106
6.41,1102
6.56,1102
6.35,1094
6.55,1093
6.45,1083
6.47,1079
6.28,1075
6.61,1075
6.5,1070
6.51,1062
6.49,1056
6.63,1052
6.71,1052
6.64,1051
6.59,1048
6.58,1045
6.62,1041
6.52,1038
6.69,1037
6.65,1032
6.7,1030
6.66,1028
6.78,1027
6.57,1024
6.75,1024
6.53,1022
6.79,1019
6.68,1014
6.76,1008
6.73,1007
6.67,1005
6.6,1002
6.74,993
6.86,993
6.8,989
6.82,989
6.85,986
6.77,977
6.72,972
6.92,972
6.84,970
7.04,965
6.94,960
6.87,959
6.83,957
6.91,956
6.89,955
6.95,955
6.81,953
6.99,944
7.16,939
6.98,937
7.02,932
6.9,930
6.96,927
6.93,925
7.01,925
7.07,925
6.88,922
7.1,922
7.08,913
7.12,913
7.05,909
6.97,908
7.03,904
7.24,899
7.06,895
7,889
7.27,887
7.2,885
7.13,884
7.18,881
7.29,878
7.26,876
7.19,875
7.33,870
7.09,868
7.23,863
7.15,858
7.11,856
7.25,852
7.32,851
7.14,850
7.35,850
7.28,844
7.37,844
7.44,834
7.17,833
7.36,832
7.21,830
7.38,830
7.52,827
7.57,827
7.4,826
7.51,823
7.41,822
7.59,819
7.42,817
7.34,815
7.43,808
7.45,804
7.31,803
7.46,800
7.39,793
7.3,792
7.48,790
7.56,785
7.22,782
7.5,776
7.47,775
7.66,770
7.58,767
7.49,764
7.69,764
7.6,762
7.62,759
7.82,759
7.63,757
7.65,756
7.53,753
7.61,750
7.73,749
7.68,746
7.76,745
